TradeTime,open,high,low,close,volume
2018-09-12 09:00:00,47650.0,47650.0,47650.0,47650.0,200068
2018-09-12 09:15:00,47660.0,47660.0,47620.0,47620.00000000001,7031152
2018-09-12 09:30:00,47620.00000000001,47620.00000000001,47510.0,47550.0,22430804
2018-09-12 09:45:00,47550.0,47580.00000000001,47520.0,47540.0,16099228
2018-09-12 10:00:00,47540.0,47610.0,47520.0,47600.0,13085436
2018-09-12 10:15:00,,,,,0
2018-09-12 10:30:00,47610.0,47680.0,47610.0,47680.0,11683662
2018-09-12 10:45:00,47680.0,47710.0,47640.0,47660.0,17270778
2018-09-12 11:00:00,47660.0,47720.0,47650.0,47720.0,16578994
2018-09-12 11:15:00,47730.00000000001,47730.00000000001,47690.0,47700.0,9614202
2018-09-12 11:30:00,,,,,0
2018-09-12 11:45:00,,,,,0
2018-09-12 12:00:00,,,,,0
2018-09-12 12:15:00,,,,,0
2018-09-12 12:30:00,,,,,0
2018-09-12 12:45:00,,,,,0
2018-09-12 13:00:00,,,,,0
2018-09-12 13:15:00,,,,,0
2018-09-12 13:30:00,47780.0,47820.0,47780.0,47810.0,4438274
2018-09-12 13:45:00,47810.0,47830.0,47770.0,47800.0,24959190
2018-09-12 14:00:00,47800.0,47840.0,47760.0,47810.0,21819966
2018-09-12 14:15:00,47830.0,47830.0,47770.0,47790.0,10379156
2018-09-12 14:30:00,47780.0,47780.0,47690.0,47730.0,15750240
2018-09-12 14:45:00,47720.0,47720.0,47720.0,47720.0,261352
